City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
301,Bonavista,CA,48.6499,-53.1147,38.12,60,0,2.53,clear sky
302,Mehamn,NO,71.0357,27.8492,37.47,82,100,16.13,overcast clouds
303,Paveh,IR,35.0434,46.3565,55.15,72,100,7.05,overcast clouds
304,Gushikawa,JP,26.3544,127.8686,80.6,58,20,9.22,few clouds
305,Arruda Dos Vinhos,PT,38.9841,-9.0775,68.32,97,100,15.88,overcast clouds
306,Beloha,MG,-25.1667,45.05,65.7,85,61,6.93,broken clouds
307,Geraldton,AU,-28.7667,114.6,72.12,49,0,12.66,clear sky
308,Leshukonskoye,RU,64.8989,45.7622,34.0,99,100,5.66,snow
309,Orsk,RU,51.2049,58.5668,43.7,87,90,15.66,overcast clouds
310,Takoradi,GH,4.8845,-1.7554,77.54,89,100,7.99,overcast clouds
311,Braniewo,PL,54.3797,19.8196,50.72,66,12,16.67,few clouds
312,Barcelos,PT,41.5388,-8.6151,65.91,98,100,9.26,overcast clouds
313,Imbituba,BR,-28.24,-48.6703,67.89,94,100,11.99,light rain
314,Leh,IN,34.1667,77.5833,22.93,55,4,4.09,clear sky
315,Bend,US,44.0582,-121.3153,40.86,68,90,5.99,overcast clouds
316,Angoche,MZ,-16.2325,39.9086,72.18,84,0,8.03,clear sky
317,Dhidhdhoo,MV,6.8833,73.1,80.22,79,32,5.17,light rain
318,Chunoyar,RU,57.4467,97.3217,26.71,61,96,6.42,overcast clouds
319,Lima,PE,-12.0432,-77.0282,64.9,81,90,10.36,overcast clouds
320,Opotiki,NZ,-38.0833,177.2833,69.39,87,100,7.99,overcast clouds
321,Sola,VU,-13.8833,167.55,81.1,67,10,13.24,clear sky
322,Altay,CN,47.8667,88.1167,39.74,69,100,2.89,overcast clouds
323,Darab,IR,28.7519,54.5444,66.36,27,83,4.9,broken clouds
324,Aasiaat,GL,68.7098,-52.8699,34.34,97,100,24.87,light rain
325,Jalu,LY,29.0331,21.5482,67.24,46,6,7.61,clear sky
326,Takaka,NZ,-40.85,172.8,60.57,57,7,14.32,clear sky
327,Mehran,IR,33.1222,46.1646,78.67,29,100,9.26,overcast clouds
328,Paducah,US,37.0834,-88.6001,55.62,89,90,0.0,overcast clouds
329,Mlonggo,ID,-6.5333,110.7,87.69,66,100,3.29,overcast clouds
330,Rock Sound,BS,24.9,-76.2,81.59,65,51,13.89,broken clouds
331,Provideniya,RU,64.3833,-173.3,13.93,72,84,10.94,broken clouds
332,Chinique,GT,15.0447,-91.0258,62.98,97,100,1.54,overcast clouds
333,Nolinsk,RU,57.5596,49.9363,42.15,98,100,6.44,overcast clouds
334,Manado,ID,1.487,124.8455,74.17,100,40,1.14,moderate rain
335,Dubbo,AU,-32.25,148.6167,69.93,37,0,10.36,clear sky
336,Korla,CN,41.7597,86.1469,48.49,37,2,3.89,clear sky
337,Kushima,JP,31.4583,131.2333,71.11,70,52,9.98,broken clouds
338,Mitsamiouli,KM,-11.3847,43.2844,77.77,78,5,11.72,clear sky
339,Guerrero Negro,MX,27.9769,-114.0611,66.49,82,0,11.81,clear sky
340,Sakakah,SA,29.9697,40.2064,72.97,35,100,6.69,overcast clouds
341,Bridlington,GB,54.0831,-0.1919,45.9,88,18,15.46,few clouds
342,Douglas,US,41.3,-96.167,54.7,73,1,3.0,clear sky
343,Gravelbourg,CA,49.8834,-106.5512,30.47,48,0,8.77,clear sky
